N=1000, I0=100, t_max=100000, gamma=0.1, sigma=0.5
timestep,target_label,source_label,target_before,target_after,total_S,total_I,total_M
0,86,256,S,S,900,100,0
1,217,601,S,S,900,100,0
2,609,200,S,S,900,100,0
3,876,523,S,S,900,100,0
4,554,236,S,S,900,100,0
5,285,702,S,S,900,100,0
6,816,296,I,M,900,99,1
7,564,942,S,S,900,99,1
8,6,150,S,I,899,100,1
9,284,594,S,S,899,100,1
10,970,989,S,S,899,100,1
11,563,861,S,S,899,100,1
12,667,63,S,S,899,100,1
13,740,559,S,S,899,100,1
14,740,578,S,S,899,100,1
15,406,646,S,I,898,101,1
16,270,671,S,S,898,101,1
17,585,720,S,S,898,101,1
18,846,292,S,S,898,101,1
19,826,712,S,S,898,101,1
20,203,539,S,S,898,101,1
21,208,156,S,S,898,101,1
22,391,261,S,S,898,101,1
23,280,93,S,S,898,101,1
24,147,674,S,S,898,101,1
25,454,779,S,S,898,101,1
26,228,40,S,S,898,101,1
27,896,65,S,S,898,101,1
28,40,930,I,I,898,101,1
29,43,26,I,I,898,101,1
30,952,771,S,S,898,101,1
31,747,794,S,S,898,101,1
32,939,363,S,S,898,101,1
33,812,839,S,S,898,101,1
34,111,253,S,S,898,101,1
35,512,340,S,S,898,101,1
36,622,929,S,S,898,101,1
37,433,224,S,S,898,101,1
38,117,752,S,S,898,101,1
39,772,691,S,S,898,101,1
40,105,373,S,S,898,101,1
41,469,569,S,S,898,101,1
42,753,518,S,S,898,101,1
43,948,325,I,M,898,100,2
44,480,291,S,S,898,100,2
45,707,123,S,S,898,100,2
46,479,175,S,S,898,100,2
47,969,21,S,S,898,100,2
48,945,739,S,S,898,100,2
49,448,982,I,I,898,100,2
50,30,66,S,S,898,100,2
51,471,168,S,S,898,100,2
52,820,378,S,I,897,101,2
53,34,275,S,S,897,101,2
54,720,453,S,S,897,101,2
55,885,796,S,S,897,101,2
56,136,73,I,I,897,101,2
57,95,854,S,S,897,101,2
58,823,478,S,S,897,101,2
59,846,591,S,S,897,101,2
60,73,720,S,S,897,101,2
61,772,511,S,S,897,101,2
62,889,968,S,S,897,101,2
63,718,652,S,S,897,101,2
64,690,249,S,I,896,102,2
65,626,818,S,S,896,102,2
66,872,155,S,S,896,102,2
67,786,773,S,S,896,102,2
68,561,53,S,I,895,103,2
69,675,694,I,I,895,103,2
70,785,262,S,S,895,103,2
71,963,696,S,S,895,103,2
72,864,320,S,S,895,103,2
73,789,714,S,S,895,103,2
74,361,747,S,S,895,103,2
75,790,582,I,I,895,103,2
76,312,140,S,S,895,103,2
77,378,255,I,I,895,103,2
78,254,749,S,S,895,103,2
79,202,516,S,I,894,104,2
80,894,662,S,S,894,104,2
81,885,717,S,S,894,104,2
82,477,263,S,S,894,104,2
83,213,104,S,S,894,104,2
84,572,410,S,S,894,104,2
85,250,913,I,I,894,104,2
86,750,256,S,S,894,104,2
87,720,205,S,S,894,104,2
88,317,837,S,S,894,104,2
89,264,647,S,S,894,104,2
90,114,863,S,S,894,104,2
91,147,273,S,S,894,104,2
92,793,862,I,I,894,104,2
93,22,752,S,S,894,104,2
94,358,328,S,S,894,104,2
95,386,659,S,S,894,104,2
96,472,118,S,S,894,104,2
97,278,705,S,S,894,104,2
98,767,395,S,S,894,104,2
99,840,201,S,S,894,104,2
100,50,178,I,I,894,104,2
101,377,949,S,S,894,104,2
102,561,214,I,I,894,104,2
103,764,164,S,S,894,104,2
104,536,845,S,S,894,104,2
105,227,368,S,S,894,104,2
106,939,719,S,S,894,104,2
107,926,102,S,S,894,104,2
108,355,719,S,S,894,104,2
109,388,65,I,I,894,104,2
110,748,794,S,S,894,104,2
111,457,451,S,S,894,104,2
112,190,375,S,S,894,104,2
113,806,229,S,I,893,105,2
114,102,239,S,S,893,105,2
115,327,299,I,I,893,105,2
116,960,989,S,S,893,105,2
117,737,626,S,S,893,105,2
118,6,792,I,I,893,105,2
119,359,972,S,S,893,105,2
120,279,36,S,S,893,105,2
121,186,802,S,S,893,105,2
122,289,484,S,S,893,105,2
123,769,248,S,S,893,105,2
124,64,866,S,S,893,105,2
125,24,659,I,I,893,105,2
126,967,459,S,S,893,105,2
127,540,198,S,S,893,105,2
128,192,361,S,S,893,105,2
129,481,12,S,S,893,105,2
130,302,124,S,S,893,105,2
131,248,686,S,I,892,106,2
132,309,74,S,S,892,106,2
133,713,754,I,I,892,106,2
134,49,462,I,I,892,106,2
