N=1000, I0=1, t_max=100000, gamma=0.1, sigma=0
timestep,source_label,target_label,source_during,target_before,target_after,S_total,I_total,M_total
0,522,559,S,S,S,999,1,0
1,167,206,S,S,S,999,1,0
2,942,445,S,S,S,999,1,0
3,107,776,S,S,S,999,1,0
4,950,611,S,S,S,999,1,0
5,184,236,S,S,S,999,1,0
6,827,163,S,S,S,999,1,0
7,41,707,S,S,S,999,1,0
8,696,111,S,S,S,999,1,0
9,524,915,S,S,S,999,1,0
10,325,709,S,S,S,999,1,0
11,934,909,S,S,S,999,1,0
12,909,351,S,S,S,999,1,0
13,759,795,S,S,S,999,1,0
14,198,839,S,S,S,999,1,0
15,339,93,S,S,S,999,1,0
16,483,936,S,S,S,999,1,0
17,572,516,S,S,S,999,1,0
18,984,262,S,S,S,999,1,0
19,632,789,S,S,S,999,1,0
20,415,545,S,S,S,999,1,0
21,362,57,S,S,S,999,1,0
22,948,826,S,S,S,999,1,0
23,58,254,S,S,S,999,1,0
24,89,237,S,S,S,999,1,0
25,469,344,S,S,S,999,1,0
26,472,418,S,S,S,999,1,0
27,846,127,S,S,S,999,1,0
28,714,750,S,S,S,999,1,0
29,267,345,S,S,S,999,1,0
30,367,270,S,S,S,999,1,0
31,387,440,S,S,S,999,1,0
32,222,199,S,S,S,999,1,0
33,989,59,S,S,S,999,1,0
34,481,394,S,S,S,999,1,0
35,61,234,S,S,S,999,1,0
36,126,186,S,S,S,999,1,0
37,670,467,S,S,S,999,1,0
38,0,266,S,S,S,999,1,0
39,959,911,S,S,S,999,1,0
40,969,593,S,S,S,999,1,0
41,845,937,S,S,S,999,1,0
42,732,630,S,S,S,999,1,0
43,358,709,S,S,S,999,1,0
44,479,332,S,S,S,999,1,0
45,948,263,S,S,S,999,1,0
46,494,327,S,S,S,999,1,0
47,20,632,S,S,S,999,1,0
48,581,491,S,S,S,999,1,0
49,322,910,S,S,S,999,1,0
50,323,577,S,S,S,999,1,0
51,656,308,S,S,S,999,1,0
52,227,467,S,S,S,999,1,0
53,757,197,S,S,S,999,1,0
54,608,542,S,S,S,999,1,0
55,298,355,S,S,S,999,1,0
56,234,638,S,S,S,999,1,0
57,280,100,S,S,S,999,1,0
58,105,660,S,S,S,999,1,0
59,795,76,S,S,S,999,1,0
60,144,396,S,S,S,999,1,0
61,203,919,S,S,S,999,1,0
62,623,857,S,S,S,999,1,0
63,914,770,S,S,S,999,1,0
64,507,994,S,S,S,999,1,0
65,426,50,S,S,S,999,1,0
66,65,444,S,S,S,999,1,0
67,693,530,S,S,S,999,1,0
68,638,30,S,S,S,999,1,0
69,38,441,S,S,S,999,1,0
70,140,698,S,S,S,999,1,0
71,377,913,S,S,S,999,1,0
72,306,48,S,S,S,999,1,0
73,402,567,S,S,S,999,1,0
74,744,675,S,S,S,999,1,0
75,187,805,S,S,S,999,1,0
76,595,152,S,S,S,999,1,0
77,332,953,S,S,S,999,1,0
78,167,77,S,S,S,999,1,0
79,675,417,S,S,S,999,1,0
80,62,42,S,S,S,999,1,0
81,961,311,S,S,S,999,1,0
82,356,735,S,S,S,999,1,0
83,281,479,S,S,S,999,1,0
84,40,845,S,S,S,999,1,0
85,652,175,S,S,S,999,1,0
86,4,509,S,S,S,999,1,0
87,578,72,S,S,S,999,1,0
88,416,601,S,S,S,999,1,0
89,960,242,S,S,S,999,1,0
90,955,568,S,S,S,999,1,0
91,48,905,S,S,S,999,1,0
92,901,958,S,S,S,999,1,0
93,269,487,S,S,S,999,1,0
94,963,238,S,S,S,999,1,0
95,219,392,S,S,S,999,1,0
96,256,120,S,S,S,999,1,0
97,745,784,S,S,S,999,1,0
98,610,42,S,S,S,999,1,0
99,999,749,S,S,S,999,1,0
100,371,140,S,S,S,999,1,0
101,300,969,S,S,S,999,1,0
102,300,866,S,S,S,999,1,0
103,329,425,S,S,S,999,1,0
104,265,7,S,S,S,999,1,0
105,736,50,S,S,S,999,1,0
106,615,180,S,S,S,999,1,0
107,929,701,S,S,S,999,1,0
108,282,45,S,S,S,999,1,0
109,390,553,S,S,S,999,1,0
110,29,332,S,S,S,999,1,0
111,400,395,S,S,S,999,1,0
112,164,175,S,S,S,999,1,0
113,736,288,S,S,S,999,1,0
114,298,625,S,S,S,999,1,0
115,500,229,S,S,S,999,1,0
116,488,102,S,S,S,999,1,0
117,546,886,S,S,S,999,1,0
118,142,144,S,S,S,999,1,0
119,861,975,S,S,S,999,1,0
120,906,600,S,S,S,999,1,0
121,62,548,S,S,S,999,1,0
122,366,279,S,S,S,999,1,0
123,711,881,S,S,S,999,1,0
124,704,858,S,S,S,999,1,0
125,173,732,S,S,S,999,1,0
126,187,299,S,S,S,999,1,0
127,507,340,S,S,S,999,1,0
128,406,656,S,S,S,999,1,0
129,808,171,S,S,S,999,1,0
130,202,504,S,S,S,999,1,0
131,935,980,S,S,S,999,1,0
132,436,118,S,S,S,999,1,0
133,551,389,S,S,S,999,1,0
134,121,715,S,S,S,999,1,0
135,17,801,S,S,S,999,1,0
136,425,780,S,S,S,999,1,0
137,620,815,S,S,S,999,1,0
138,90,868,S,S,S,999,1,0
139,450,805,S,S,S,999,1,0
140,291,553,S,S,S,999,1,0
141,651,214,S,S,S,999,1,0
142,613,548,S,S,S,999,1,0
143,491,992,S,S,S,999,1,0
144,519,363,S,S,S,999,1,0
145,461,289,S,S,S,999,1,0
146,881,501,S,S,S,999,1,0
147,48,968,S,S,S,999,1,0
148,168,543,S,S,S,999,1,0
149,450,681,S,S,S,999,1,0
150,880,14,S,S,S,999,1,0
151,727,883,S,S,S,999,1,0
152,385,470,S,S,S,999,1,0
153,720,349,S,S,S,999,1,0
154,994,7,S,S,S,999,1,0
155,0,16,S,S,S,999,1,0
156,381,549,S,S,S,999,1,0
157,445,203,S,S,S,999,1,0
158,883,722,S,S,S,999,1,0
159,543,438,S,S,S,999,1,0
160,924,784,S,S,S,999,1,0
161,454,844,S,S,S,999,1,0
162,985,184,S,S,S,999,1,0
163,110,728,S,S,S,999,1,0
164,991,160,S,S,S,999,1,0
165,815,13,S,S,S,999,1,0
166,218,922,S,S,S,999,1,0
167,536,763,S,S,S,999,1,0
168,711,298,S,S,S,999,1,0
169,331,978,S,S,S,999,1,0
170,930,702,S,S,S,999,1,0
171,999,727,S,S,S,999,1,0
172,251,70,S,S,S,999,1,0
173,49,498,S,S,S,999,1,0
174,589,139,S,S,S,999,1,0
175,623,361,S,S,S,999,1,0
176,733,514,S,S,S,999,1,0
177,817,908,S,S,S,999,1,0
178,233,268,S,S,S,999,1,0
179,61,808,S,S,S,999,1,0
180,90,609,S,S,S,999,1,0
181,864,567,S,S,S,999,1,0
182,790,687,S,S,S,999,1,0
183,564,237,S,S,S,999,1,0
184,59,349,S,S,S,999,1,0
185,526,336,S,S,S,999,1,0
186,583,72,S,S,S,999,1,0
187,198,737,S,S,S,999,1,0
188,353,41,S,S,S,999,1,0
189,637,557,S,S,S,999,1,0
190,824,164,S,S,S,999,1,0
191,771,835,S,S,S,999,1,0
192,142,813,S,S,S,999,1,0
193,959,683,S,S,S,999,1,0
194,971,417,S,S,S,999,1,0
195,575,925,S,S,S,999,1,0
196,135,604,S,S,S,999,1,0
197,831,802,S,S,S,999,1,0
198,808,928,S,S,S,999,1,0
199,631,445,S,S,S,999,1,0
200,358,352,S,S,S,999,1,0
201,772,580,S,S,S,999,1,0
202,253,87,S,S,S,999,1,0
203,865,839,S,S,S,999,1,0
204,975,983,S,S,S,999,1,0
205,399,369,S,S,S,999,1,0
206,42,314,S,S,S,999,1,0
207,731,271,S,S,S,999,1,0
208,26,881,S,S,S,999,1,0
209,312,794,S,S,S,999,1,0
210,172,343,S,S,S,999,1,0
211,772,521,S,S,S,999,1,0
212,762,740,S,S,S,999,1,0
213,574,997,S,S,S,999,1,0
214,300,993,S,S,S,999,1,0
215,251,401,S,S,S,999,1,0
216,134,750,S,S,S,999,1,0
217,230,308,S,S,S,999,1,0
218,937,963,S,S,S,999,1,0
219,12,552,S,S,S,999,1,0
220,488,983,S,S,S,999,1,0
221,250,948,S,S,S,999,1,0
222,10,314,S,S,S,999,1,0
223,708,231,S,S,S,999,1,0
224,419,359,S,S,S,999,1,0
225,700,152,S,S,S,999,1,0
226,439,84,S,S,S,999,1,0
227,975,951,S,S,S,999,1,0
228,316,58,S,S,S,999,1,0
229,405,799,S,S,S,999,1,0
230,885,624,S,S,S,999,1,0
231,733,723,S,S,S,999,1,0
232,824,437,S,S,S,999,1,0
233,596,649,S,S,S,999,1,0
234,202,517,S,S,S,999,1,0
235,156,256,S,S,S,999,1,0
236,331,715,S,S,S,999,1,0
237,894,847,S,S,S,999,1,0
238,817,304,S,S,S,999,1,0
239,242,715,S,S,S,999,1,0
240,797,569,S,S,S,999,1,0
241,934,220,S,S,S,999,1,0
242,48,452,S,S,S,999,1,0
243,508,477,S,S,S,999,1,0
244,390,779,S,S,S,999,1,0
245,922,50,S,S,S,999,1,0
246,763,33,S,S,S,999,1,0
247,172,996,S,S,S,999,1,0
248,91,27,S,S,S,999,1,0
249,719,461,S,S,S,999,1,0
250,876,256,S,S,S,999,1,0
251,982,662,S,S,S,999,1,0
252,404,977,S,S,S,999,1,0
253,905,610,S,S,S,999,1,0
254,654,108,S,S,S,999,1,0
255,884,703,S,S,S,999,1,0
256,253,423,S,S,S,999,1,0
257,778,741,S,S,S,999,1,0
258,186,823,S,S,S,999,1,0
259,226,166,S,S,S,999,1,0
260,612,717,S,S,S,999,1,0
261,311,893,S,S,S,999,1,0
262,831,513,S,S,S,999,1,0
263,517,326,S,S,S,999,1,0
264,662,528,S,S,S,999,1,0
265,491,235,S,S,S,999,1,0
266,652,351,S,S,S,999,1,0
267,172,287,S,S,S,999,1,0
268,229,197,S,S,S,999,1,0
269,392,327,S,S,S,999,1,0
270,371,428,S,S,S,999,1,0
271,631,334,S,S,S,999,1,0
272,787,515,S,S,S,999,1,0
273,945,966,S,S,S,999,1,0
274,63,754,S,S,S,999,1,0
275,138,734,S,S,S,999,1,0
276,830,792,S,S,S,999,1,0
277,605,844,S,S,S,999,1,0
278,981,376,S,S,S,999,1,0
279,370,695,S,S,S,999,1,0
280,435,235,S,S,S,999,1,0
281,68,352,S,S,S,999,1,0
282,61,136,S,S,S,999,1,0
283,921,305,S,S,S,999,1,0
284,900,371,S,S,S,999,1,0
285,317,494,S,S,S,999,1,0
286,487,204,S,S,S,999,1,0
287,49,424,S,S,S,999,1,0
288,655,883,S,S,S,999,1,0
