node	variant_name	num_mutations	ancestors	successors
0	['a']	0	[]	[1, 2, 3, 4, 5, 6, 8, 10, 11, 15, 16, 20, 21, 23, 24, 25, 26, 27, 29, 30, 32, 36, 37, 42, 43, 46, 48, 49, 52, 54, 58, 62, 63, 65, 67, 72, 74, 76, 77, 81, 82, 84, 85]
1	['a_b']	1	[0]	[18, 19, 34, 45]
2	['a_f']	1	[0]	[7, 9, 55]
3	['a_o']	1	[0]	[13, 14, 35, 39, 41, 59, 69, 71, 83, 87]
4	['a_g']	1	[0]	[33, 53, 68, 79, 86]
5	['a_p']	1	[0]	[12, 51]
6	['a_h']	1	[0]	[]
8	['a_c']	1	[0]	[]
10	['a_q']	1	[0]	[38]
11	['a_s']	1	[0]	[56, 75]
15	['a_l']	1	[0]	[]
16	['a_m']	1	[0]	[]
20	['a_t']	1	[0]	[]
21	['a_C']	1	[0]	[]
23	['a_G']	1	[0]	[57]
24	['a_A']	1	[0]	[]
25	['a_d']	1	[0]	[47, 78]
26	['a_6']	1	[0]	[]
27	['a_B']	1	[0]	[31, 60]
29	['a_X']	1	[0]	[66]
30	['a_x']	1	[0]	[]
32	['a_K']	1	[0]	[]
36	['a_k']	1	[0]	[70]
37	['a_5']	1	[0]	[]
42	['a_L']	1	[0]	[]
43	['a_7']	1	[0]	[]
46	['a_V']	1	[0]	[]
48	['a_W']	1	[0]	[]
49	['a_u']	1	[0]	[]
52	['a_e']	1	[0]	[]
54	['a_I']	1	[0]	[]
58	['a_H']	1	[0]	[]
62	['a_v']	1	[0]	[]
63	['a_J']	1	[0]	[]
65	['a_19']	1	[0]	[]
67	['a_Z']	1	[0]	[]
72	['a_E']	1	[0]	[]
74	['a_U']	1	[0]	[]
76	['a_O']	1	[0]	[]
77	['a_F']	1	[0]	[]
81	['a_3']	1	[0]	[]
82	['a_T']	1	[0]	[]
84	['a_4']	1	[0]	[]
85	['a_25']	1	[0]	[]
18	['a_b_y']	2	[0, 1]	[]
19	['a_b_i']	2	[0, 1]	[]
34	['a_b_z']	2	[0, 1]	[]
45	['a_b_j']	2	[0, 1]	[]
7	['a_f_r']	2	[0, 2]	[17, 22, 28, 40, 44, 50, 61, 80]
9	['a_f_P']	2	[0, 2]	[]
55	['a_f_28']	2	[0, 2]	[]
13	['a_o_9']	2	[0, 3]	[64]
14	['a_o_8']	2	[0, 3]	[]
35	['a_o_11']	2	[0, 3]	[]
39	['a_o_12']	2	[0, 3]	[]
41	['a_o_26']	2	[0, 3]	[]
59	['a_o_20']	2	[0, 3]	[]
69	['a_o_10']	2	[0, 3]	[]
71	['a_o_27']	2	[0, 3]	[]
83	['a_o_30']	2	[0, 3]	[]
87	['a_o_29']	2	[0, 3]	[]
33	['a_g_17']	2	[0, 4]	[]
53	['a_g_18']	2	[0, 4]	[]
68	['a_g_2']	2	[0, 4]	[]
79	['a_g_R']	2	[0, 4]	[]
86	['a_g_34']	2	[0, 4]	[]
12	['a_p_22']	2	[0, 5]	[]
51	['a_p_M']	2	[0, 5]	[]
38	['a_q_31']	2	[0, 10]	[]
56	['a_s_0']	2	[0, 11]	[]
75	['a_s_1']	2	[0, 11]	[]
57	['a_G_S']	2	[0, 23]	[]
47	['a_d_n']	2	[0, 25]	[]
78	['a_d_w']	2	[0, 25]	[]
31	['a_B_N']	2	[0, 27]	[]
60	['a_B_Y']	2	[0, 27]	[]
66	['a_X_24']	2	[0, 29]	[]
70	['a_k_D']	2	[0, 36]	[]
17	['a_f_r_15']	3	[0, 2, 7]	[]
22	['a_f_r_13']	3	[0, 2, 7]	[]
28	['a_f_r_16']	3	[0, 2, 7]	[]
40	['a_f_r_33']	3	[0, 2, 7]	[73]
44	['a_f_r_32']	3	[0, 2, 7]	[]
50	['a_f_r_14']	3	[0, 2, 7]	[]
61	['a_f_r_23']	3	[0, 2, 7]	[]
80	['a_f_r_Q']	3	[0, 2, 7]	[]
64	['a_o_9_21']	3	[0, 3, 13]	[]
73	['a_f_r_33_35']	4	[40, 0, 2, 7]	[]
