node	mutation_occurred	variant_name	successors
292	False	a	[287, 538]
287	True	a_b	[566, 545, 503, 642, 205, 910]
538	False	a	[511, 455, 575, 359, 674, 184, 737, 877, 334, 567, 822, 699, 805, 297, 151]
566	False	a_b	[920, 555, 803]
545	True	a_b_c	[22, 394, 791, 433]
503	False	a_b	[370, 301, 587, 131, 716, 583, 695]
642	True	a_b_d	[619]
205	False	a_b	[150, 283, 217]
910	False	a_b	[859, 906]
511	True	a_e	[899]
455	True	a_f	[25, 922, 128, 785, 363, 118, 94]
575	False	a	[657]
359	False	a	[104, 307, 442, 628]
674	False	a	[155]
184	True	a_g	[487, 462, 666, 597, 962, 862]
737	True	a_h	[]
877	False	a	[]
334	False	a	[]
567	False	a	[246, 3, 632, 227, 989, 182]
822	False	a	[693, 838, 310, 821, 410]
699	False	a	[]
805	False	a	[]
297	False	a	[]
151	True	a_i	[331]
920	False	a_b	[779, 439, 591, 238]
555	False	a_b	[]
803	False	a_b	[183, 256, 180, 735, 966]
22	True	a_b_c_j	[170]
394	False	a_b_c	[604]
791	True	a_b_c_k	[]
433	False	a_b_c	[546]
370	True	a_b_l	[823, 810, 114, 422, 504, 529]
301	False	a_b	[]
587	False	a_b	[565]
131	False	a_b	[766, 871]
716	True	a_b_m	[]
583	False	a_b	[]
695	False	a_b	[]
619	True	a_b_d_n	[434, 168, 286, 758, 335, 197]
150	False	a_b	[589, 887, 978, 294]
283	False	a_b	[908, 12]
217	True	a_b_o	[]
859	False	a_b	[133, 818]
906	False	a_b	[105]
899	False	a_e	[225, 725, 839, 27, 372, 960, 987, 520]
25	True	a_f_p	[]
922	False	a_f	[378, 76]
128	False	a_f	[263, 420]
785	False	a_f	[]
363	False	a_f	[]
118	False	a_f	[]
94	True	a_f_q	[]
657	False	a	[40, 200, 23, 41]
104	False	a	[]
307	False	a	[639]
442	False	a	[368, 48, 0]
628	False	a	[]
155	False	a	[997]
487	False	a_g	[373, 979, 552, 2, 257]
462	True	a_g_r	[970, 8]
666	True	a_g_s	[139, 84, 311, 528, 449]
597	False	a_g	[865, 46, 933]
962	True	a_g_t	[322, 87, 516]
862	False	a_g	[]
246	False	a	[630]
3	False	a	[35, 160]
632	True	a_u	[697]
227	False	a	[635]
989	True	a_v	[835, 826, 743]
