node	mutation_occurred	variant_name	successors
292	False	a	[287, 538]
287	False	a	[566, 545, 503, 642, 205, 910]
538	False	a	[511, 455, 575, 359, 674, 184, 737, 877, 334, 567, 822, 699, 805, 297, 151]
566	True	a_b	[920, 555, 803]
545	False	a	[22, 394, 791, 433]
503	False	a	[370, 301, 587, 131, 716, 583, 695]
642	False	a	[619]
205	False	a	[150, 283, 217]
910	False	a	[859, 906]
511	False	a	[899]
455	False	a	[25, 922, 128, 785, 363, 118, 94]
575	False	a	[657]
359	False	a	[104, 307, 442, 628]
674	True	a_c	[155]
184	True	a_d	[487, 462, 666, 597, 962, 862]
737	False	a	[]
877	False	a	[]
334	True	a_e	[]
567	True	a_f	[246, 3, 632, 227, 989, 182]
822	False	a	[693, 838, 310, 821, 410]
699	False	a	[]
805	False	a	[]
297	False	a	[]
151	False	a	[331]
920	False	a_b	[779, 439, 591, 238]
555	False	a_b	[]
803	True	a_b_g	[183, 256, 180, 735, 966]
22	True	a_h	[170]
394	True	a_i	[604]
791	True	a_j	[]
433	False	a	[546]
370	True	a_k	[823, 810, 114, 422, 504, 529]
301	True	a_l	[]
587	False	a	[565]
131	True	a_m	[766, 871]
716	False	a	[]
583	True	a_n	[]
695	False	a	[]
619	True	a_o	[434, 168, 286, 758, 335, 197]
150	False	a	[589, 887, 978, 294]
283	False	a	[908, 12]
217	True	a_p	[]
859	False	a	[133, 818]
906	False	a	[105]
899	False	a	[225, 725, 839, 27, 372, 960, 987, 520]
25	False	a	[]
922	False	a	[378, 76]
128	False	a	[263, 420]
785	False	a	[]
363	False	a	[]
118	True	a_q	[]
94	False	a	[]
657	False	a	[40, 200, 23, 41]
104	False	a	[]
307	False	a	[639]
442	True	a_r	[368, 48, 0]
628	False	a	[]
155	False	a_c	[997]
487	True	a_d_s	[373, 979, 552, 2, 257]
462	False	a_d	[970, 8]
666	True	a_d_t	[139, 84, 311, 528, 449]
597	False	a_d	[865, 46, 933]
962	False	a_d	[322, 87, 516]
862	True	a_d_u	[]
246	False	a_f	[630]
3	False	a_f	[35, 160]
632	False	a_f	[697]
227	False	a_f	[635]
989	False	a_f	[835, 826, 743]
182	False	a_f	[]
693	False	a	[]
838	False	a	[726]
310	False	a	[]
821	True	a_v	[222]
410	False	a	[]
331	False	a	[]
779	True	a_b_w	[902, 113]
439	False	a_b	[83]
591	True	a_b_x	[401]
238	False	a_b	[983]
183	False	a_b_g	[308, 522, 974, 488]
256	False	a_b_g	[754, 721]
180	True	a_b_g_y	[425]
735	False	a_b_g	[]
966	False	a_b_g	[]
170	False	a_h	[318, 667, 467, 730, 656]
604	False	a_i	[728, 181, 698, 444, 882, 851, 916]
546	False	a	[314]
823	True	a_k_z	[396, 436, 680, 690]
810	True	a_k_A	[588, 490]
114	True	a_k_B	[]
422	False	a_k	[]
504	False	a_k	[837]
529	False	a_k	[938, 374, 898]
565	True	a_C	[797, 927]
766	False	a_m	[507]
871	True	a_m_D	[]
434	False	a_o	[840, 36, 959]
168	True	a_o_E	[255]
286	False	a_o	[650]
758	True	a_o_F	[]
335	True	a_o_G	[]
197	True	a_o_H	[1]
589	True	a_I	[120]
887	True	a_J	[]
978	False	a	[]
294	False	a	[]
908	False	a	[547, 407]
12	True	a_K	[]
133	False	a	[]
818	False	a	[191]
105	True	a_L	[261]
225	False	a	[74, 919, 28, 924, 509]
725	True	a_M	[259]
839	False	a	[789]
27	False	a	[427, 702]
372	True	a_N	[819]
960	False	a	[473]
987	False	a	[]
520	False	a	[]
378	False	a	[]
76	True	a_O	[224]
263	False	a	[]
420	False	a	[486, 100]
40	False	a	[599, 342, 832, 230]
200	False	a	[]
23	True	a_P	[888, 573, 834, 332, 712]
41	False	a	[615, 660]
639	False	a	[]
368	False	a_r	[]
48	False	a_r	[670]
0	False	a_r	[]
997	True	a_c_Q	[]
373	True	a_d_s_R	[582]
979	False	a_d_s	[29, 306, 92, 600, 781]
552	False	a_d_s	[369]
2	True	a_d_s_S	[]
257	False	a_d_s	[]
970	False	a_d	[145]
8	True	a_d_T	[402, 792]
139	False	a_d_t	[437, 773, 696]
84	False	a_d_t	[872]
311	False	a_d_t	[]
528	False	a_d_t	[]
449	False	a_d_t	[289]
865	False	a_d	[892, 411, 152, 603]
46	False	a_d	[345, 461, 85]
933	True	a_d_U	[]
322	False	a_d	[376]
87	False	a_d	[844]
516	False	a_d	[]
630	True	a_f_V	[592, 252]
35	False	a_f	[651]
