node	mutation_occurred	variant_name	successors
358	False	a	[107, 377, 255]
107	False	a	[]
377	False	a	[545, 709, 336, 318, 172, 678, 204, 113, 273, 576, 31]
255	False	a	[337, 151, 706, 808]
545	False	a	[566, 449, 469, 441, 973, 146, 404, 191]
709	False	a	[828, 970, 605, 428]
336	False	a	[]
318	True	a_b	[733, 827, 299, 326, 941, 427, 654]
172	False	a	[49, 636]
678	False	a	[203, 582]
204	False	a	[578, 684, 628, 254, 907]
113	False	a	[]
273	False	a	[122, 238]
576	False	a	[]
31	True	a_c	[]
337	True	a_d	[898, 807, 417, 633, 992, 351]
151	False	a	[369, 148]
706	True	a_e	[]
808	True	a_f	[911]
566	False	a	[560, 282, 380, 366, 275, 697, 35, 525]
449	False	a	[928, 648]
469	False	a	[]
441	False	a	[490, 550, 324, 993, 91]
973	False	a	[280, 877, 89, 930, 601, 465, 943]
146	False	a	[460, 173, 718]
404	False	a	[]
191	False	a	[]
828	False	a	[276, 451, 567]
970	False	a	[126, 354, 424]
605	False	a	[343, 857]
428	False	a	[373]
733	False	a_b	[21, 382, 188, 729]
827	True	a_b_g	[890, 659, 375, 534]
299	False	a_b	[196, 478, 825]
326	False	a_b	[10]
941	False	a_b	[976, 872, 815, 274, 400, 332, 41]
427	False	a_b	[211]
654	False	a_b	[686]
49	False	a	[778, 520]
636	False	a	[267]
203	False	a	[]
582	False	a	[]
578	False	a	[575]
684	True	a_h	[395, 613]
628	False	a	[]
254	False	a	[998]
907	False	a	[]
122	False	a	[658]
238	False	a	[841]
898	False	a_d	[]
807	False	a_d	[637, 88]
417	False	a_d	[738, 602]
633	False	a_d	[64, 98, 831, 159, 355, 620, 895]
992	False	a_d	[215, 368, 923]
351	False	a_d	[611, 179]
369	False	a	[]
148	False	a	[939, 393, 990]
911	False	a_f	[482]
560	False	a	[63, 371, 786, 846, 832, 110]
282	False	a	[666, 749, 141, 302, 680]
380	False	a	[328, 180, 874]
366	False	a	[415]
275	False	a	[515, 495]
697	False	a	[968, 221, 768]
35	False	a	[533]
525	False	a	[189]
928	False	a	[782]
648	False	a	[546]
490	False	a	[882, 166, 322]
550	False	a	[16]
324	True	a_i	[]
993	False	a	[]
91	False	a	[985]
280	False	a	[536, 96]
877	False	a	[]
89	False	a	[446, 896, 639, 422]
930	True	a_j	[814]
601	False	a	[297]
465	False	a	[693]
943	False	a	[]
460	False	a	[259]
173	False	a	[434]
718	False	a	[665, 394]
276	False	a	[]
451	False	a	[18, 961, 396, 600]
567	False	a	[]
126	False	a	[717, 535, 461, 866, 540, 34]
354	False	a	[]
424	False	a	[946]
343	False	a	[207, 390, 917, 347, 342]
857	False	a	[]
373	False	a	[897, 630]
21	False	a_b	[30, 386, 568]
382	False	a_b	[649, 523, 862, 22]
188	False	a_b	[2, 612]
729	False	a_b	[124, 398]
890	False	a_b_g	[67, 136, 541, 910]
659	True	a_b_g_k	[617, 966, 965, 880, 704, 132]
375	False	a_b_g	[834, 502, 696, 102]
534	False	a_b_g	[922, 92]
196	False	a_b	[85, 68, 700]
478	False	a_b	[773, 944, 549]
825	False	a_b	[250, 801, 956]
10	False	a_b	[503, 93, 39, 111]
976	False	a_b	[258, 730, 989, 306]
872	False	a_b	[]
815	False	a_b	[585, 62, 278]
274	False	a_b	[]
400	False	a_b	[364, 450, 964]
332	False	a_b	[564]
41	False	a_b	[793]
211	True	a_b_l	[]
686	False	a_b	[125, 599, 155]
778	False	a	[]
520	False	a	[519]
267	False	a	[]
575	False	a	[464]
395	True	a_h_m	[]
613	False	a_h	[]
998	False	a	[]
658	False	a	[]
841	False	a	[]
637	False	a_d	[476, 991, 271]
88	False	a_d	[]
738	False	a_d	[871]
602	False	a_d	[331, 508]
64	False	a_d	[526, 690, 912]
98	False	a_d	[737]
831	False	a_d	[505, 743, 940, 714]
159	True	a_d_n	[353]
355	False	a_d	[]
620	False	a_d	[584]
895	True	a_d_o	[181]
215	True	a_d_p	[562, 860]
368	False	a_d	[]
923	False	a_d	[856]
611	False	a_d	[]
179	False	a_d	[616]
939	False	a	[5]
393	False	a	[870, 183, 227]
990	False	a	[]
482	False	a_f	[]
63	False	a	[745]
371	True	a_q	[955, 466]
786	False	a	[133, 632, 713]
846	False	a	[456, 301, 994]
832	False	a	[]
110	False	a	[530]
666	False	a	[]
749	False	a	[38, 587, 442]
141	False	a	[]
302	False	a	[]
680	False	a	[]
328	False	a	[820]
180	False	a	[81, 244]
874	False	a	[]
415	False	a	[112]
515	False	a	[]
495	False	a	[591, 592]
968	False	a	[650]
221	False	a	[711]
768	False	a	[139]
533	False	a	[954]
189	False	a	[314]
782	False	a	[937, 359]
546	False	a	[514, 115]
882	False	a	[720, 284]
166	False	a	[]
322	False	a	[]
16	False	a	[]
985	False	a	[]
536	False	a	[57, 230, 642, 310, 790, 200]
96	False	a	[]
446	True	a_r	[900]
896	False	a	[812]
639	False	a	[]
422	False	a	[839]
814	True	a_j_s	[323]
297	False	a	[764, 8]
693	False	a	[]
259	False	a	[468]
434	False	a	[352]
665	False	a	[848]
394	False	a	[]
18	False	a	[24, 406, 312]
961	False	a	[574, 33, 688]
396	False	a	[571]
600	False	a	[]
717	False	a	[116]
535	False	a	[214, 984]
461	False	a	[881, 529]
866	False	a	[361]
540	False	a	[756, 243]
34	False	a	[231]
946	False	a	[781, 883, 285, 213]
207	False	a	[]
390	False	a	[767, 662]
917	False	a	[492, 360]
347	False	a	[219]
342	False	a	[]
897	False	a	[]
630	False	a	[496, 685, 426]
30	False	a_b	[15, 445, 854]
386	False	a_b	[982, 119, 703]
568	False	a_b	[165]
649	False	a_b	[]
523	False	a_b	[547, 594, 532, 796, 472]
862	True	a_b_t	[784]
22	False	a_b	[853]
2	True	a_b_u	[835]
612	False	a_b	[288, 229]
124	False	a_b	[]
398	False	a_b	[149]
67	False	a_b_g	[875, 86, 652, 769]
136	True	a_b_g_v	[]
541	False	a_b_g	[512, 265, 797]
910	False	a_b_g	[171, 531, 272, 699]
617	False	a_b_g_k	[719, 840, 84]
966	False	a_b_g_k	[388]
965	False	a_b_g_k	[239, 967, 292]
880	False	a_b_g_k	[]
704	False	a_b_g_k	[]
132	False	a_b_g_k	[]
834	False	a_b_g	[154]
502	False	a_b_g	[842, 26]
696	False	a_b_g	[661]
102	False	a_b_g	[]
922	False	a_b_g	[682]
92	False	a_b_g	[577]
85	False	a_b	[60, 865, 152, 421, 407, 402]
68	False	a_b	[401]
700	False	a_b	[927, 702]
773	False	a_b	[11, 614, 712, 884, 905, 823]
944	True	a_b_w	[]
549	False	a_b	[]
250	False	a_b	[572]
801	False	a_b	[677]
956	False	a_b	[]
503	False	a_b	[]
93	False	a_b	[750, 780, 755]
39	False	a_b	[]
111	False	a_b	[]
258	False	a_b	[440, 303]
730	False	a_b	[]
989	False	a_b	[]
306	False	a_b	[242]
585	False	a_b	[867, 671, 914]
62	False	a_b	[452]
278	False	a_b	[557]
364	False	a_b	[]
450	False	a_b	[689, 128]
964	False	a_b	[]
564	False	a_b	[]
793	False	a_b	[]
125	False	a_b	[]
599	False	a_b	[822, 803]
155	False	a_b	[]
519	True	a_x	[788]
464	False	a	[]
476	True	a_d_y	[344, 437]
991	False	a_d	[775, 904, 960]
271	False	a_d	[]
871	False	a_d	[901, 80]
331	False	a_d	[]
508	False	a_d	[795]
526	False	a_d	[]
690	False	a_d	[3, 757, 888]
912	False	a_d	[220]
737	False	a_d	[]
505	False	a_d	[477, 783]
743	False	a_d	[383, 222]
940	False	a_d	[]
714	False	a_d	[71]
353	True	a_d_n_z	[]
584	False	a_d	[]
181	False	a_d_o	[]
562	True	a_d_p_A	[]
860	True	a_d_p_B	[]
856	False	a_d	[]
616	False	a_d	[]
5	False	a	[216]
870	False	a	[]
183	False	a	[]
227	False	a	[499]
745	False	a	[811, 37, 176, 800]
955	False	a_q	[]
466	False	a_q	[]
133	False	a	[556]
632	False	a	[]
713	False	a	[583]
456	False	a	[]
301	False	a	[412, 95]
994	False	a	[471]
530	False	a	[]
38	False	a	[497]
587	False	a	[836]
442	False	a	[]
820	False	a	[118]
81	False	a	[551]
244	False	a	[356]
112	False	a	[932, 776]
591	False	a	[438, 606]
592	False	a	[971]
650	False	a	[859, 435]
711	False	a	[]
139	False	a	[]
954	False	a	[]
314	False	a	[]
937	False	a	[838]
359	False	a	[]
514	True	a_C	[283, 75]
115	False	a	[372, 760]
720	True	a_D	[]
284	False	a	[]
57	True	a_E	[852]
230	True	a_F	[]
642	False	a	[933]
310	False	a	[]
790	False	a	[]
200	False	a	[]
900	True	a_r_G	[669, 483, 453, 335]
812	False	a	[]
839	False	a	[]
323	False	a_j_s	[489]
764	False	a	[]
8	False	a	[829]
468	False	a	[]
352	True	a_H	[]
848	False	a	[543]
24	False	a	[670, 761]
406	False	a	[731]
312	False	a	[329]
574	False	a	[595, 485, 397, 707, 245]
33	False	a	[]
688	False	a	[810, 521, 391]
571	False	a	[43, 69, 920, 488]
116	False	a	[233, 622, 193]
214	False	a	[103, 174, 518, 979, 627]
984	False	a	[]
881	False	a	[]
529	False	a	[225, 969]
361	False	a	[]
756	False	a	[]
243	False	a	[]
231	False	a	[]
781	False	a	[509, 19, 863, 379]
883	False	a	[]
285	False	a	[558]
213	False	a	[]
767	True	a_I	[513, 170, 913, 58, 376]
662	False	a	[168, 319, 194]
492	True	a_J	[701]
360	False	a	[13]
219	False	a	[555]
496	False	a	[]
685	False	a	[]
426	True	a_K	[]
15	False	a_b	[9, 679, 579]
445	False	a_b	[439, 467, 959, 963]
854	False	a_b	[]
982	False	a_b	[187, 157, 160]
119	False	a_b	[974, 805]
703	False	a_b	[]
165	False	a_b	[]
547	False	a_b	[651]
594	False	a_b	[]
532	False	a_b	[]
796	False	a_b	[]
472	False	a_b	[]
784	False	a_b_t	[763]
853	True	a_b_L	[]
835	False	a_b_u	[55, 958, 338]
288	False	a_b	[410]
229	False	a_b	[]
149	False	a_b	[237]
875	False	a_b_g	[552, 672]
86	True	a_b_g_M	[987]
652	False	a_b_g	[948]
769	False	a_b_g	[975, 858]
512	False	a_b_g	[]
265	False	a_b_g	[]
797	False	a_b_g	[850]
171	False	a_b_g	[925, 676, 184]
531	False	a_b_g	[]
272	False	a_b_g	[]
699	False	a_b_g	[]
719	False	a_b_g_k	[924]
840	False	a_b_g_k	[25]
