node	mutation_occurred	variant_name	successors
358	False	a	[107, 377, 255]
107	True	a_b	[]
377	False	a	[545, 709, 336, 318, 172, 678, 204, 113, 273, 576, 31]
255	True	a_c	[337, 151, 706, 808]
545	False	a	[566, 449, 469, 441, 973, 146, 404, 191]
709	False	a	[828, 970, 605, 428]
336	True	a_d	[]
318	True	a_e	[733, 827, 299, 326, 941, 427, 654]
172	False	a	[49, 636]
678	True	a_f	[203, 582]
204	False	a	[578, 684, 628, 254, 907]
113	False	a	[]
273	False	a	[122, 238]
576	True	a_g	[]
31	False	a	[]
337	False	a_c	[898, 807, 417, 633, 992, 351]
151	False	a_c	[369, 148]
706	False	a_c	[]
808	False	a_c	[911]
566	False	a	[560, 282, 380, 366, 275, 697, 35, 525]
449	False	a	[928, 648]
469	True	a_h	[]
441	False	a	[490, 550, 324, 993, 91]
973	False	a	[280, 877, 89, 930, 601, 465, 943]
146	False	a	[460, 173, 718]
404	True	a_i	[]
191	False	a	[]
828	False	a	[276, 451, 567]
970	False	a	[126, 354, 424]
605	True	a_j	[343, 857]
428	False	a	[373]
733	False	a_e	[21, 382, 188, 729]
827	False	a_e	[890, 659, 375, 534]
299	False	a_e	[196, 478, 825]
326	False	a_e	[10]
941	True	a_e_k	[976, 872, 815, 274, 400, 332, 41]
427	True	a_e_l	[211]
654	True	a_e_m	[686]
49	False	a	[778, 520]
636	False	a	[267]
203	False	a_f	[]
582	True	a_f_n	[]
578	False	a	[575]
684	False	a	[395, 613]
628	False	a	[]
254	False	a	[998]
907	True	a_o	[]
122	False	a	[658]
238	False	a	[841]
898	False	a_c	[]
807	False	a_c	[637, 88]
417	True	a_c_p	[738, 602]
633	True	a_c_q	[64, 98, 831, 159, 355, 620, 895]
992	True	a_c_r	[215, 368, 923]
351	True	a_c_s	[611, 179]
369	False	a_c	[]
148	False	a_c	[939, 393, 990]
911	False	a_c	[482]
560	True	a_t	[63, 371, 786, 846, 832, 110]
282	False	a	[666, 749, 141, 302, 680]
380	False	a	[328, 180, 874]
366	False	a	[415]
275	False	a	[515, 495]
697	True	a_u	[968, 221, 768]
35	False	a	[533]
525	True	a_v	[189]
928	True	a_w	[782]
648	False	a	[546]
490	True	a_x	[882, 166, 322]
550	False	a	[16]
324	False	a	[]
993	False	a	[]
91	False	a	[985]
280	False	a	[536, 96]
877	False	a	[]
89	True	a_y	[446, 896, 639, 422]
930	False	a	[814]
601	False	a	[297]
465	False	a	[693]
943	True	a_z	[]
460	False	a	[259]
173	False	a	[434]
718	False	a	[665, 394]
276	False	a	[]
451	True	a_A	[18, 961, 396, 600]
567	False	a	[]
126	False	a	[717, 535, 461, 866, 540, 34]
354	False	a	[]
424	True	a_B	[946]
343	False	a_j	[207, 390, 917, 347, 342]
857	False	a_j	[]
373	True	a_C	[897, 630]
21	True	a_e_D	[30, 386, 568]
382	True	a_e_E	[649, 523, 862, 22]
188	False	a_e	[2, 612]
729	False	a_e	[124, 398]
890	False	a_e	[67, 136, 541, 910]
659	True	a_e_F	[617, 966, 965, 880, 704, 132]
375	True	a_e_G	[834, 502, 696, 102]
534	False	a_e	[922, 92]
196	True	a_e_H	[85, 68, 700]
478	True	a_e_I	[773, 944, 549]
825	False	a_e	[250, 801, 956]
10	False	a_e	[503, 93, 39, 111]
976	True	a_e_k_J	[258, 730, 989, 306]
872	False	a_e_k	[]
815	True	a_e_k_K	[585, 62, 278]
274	False	a_e_k	[]
400	False	a_e_k	[364, 450, 964]
332	False	a_e_k	[564]
41	True	a_e_k_L	[793]
211	False	a_e_l	[]
686	False	a_e_m	[125, 599, 155]
778	False	a	[]
520	False	a	[519]
267	True	a_M	[]
575	False	a	[464]
395	False	a	[]
613	True	a_N	[]
998	False	a	[]
658	False	a	[]
841	False	a	[]
637	True	a_c_O	[476, 991, 271]
88	True	a_c_P	[]
738	True	a_c_p_Q	[871]
602	False	a_c_p	[331, 508]
64	False	a_c_q	[526, 690, 912]
98	True	a_c_q_R	[737]
831	False	a_c_q	[505, 743, 940, 714]
159	False	a_c_q	[353]
355	True	a_c_q_S	[]
620	False	a_c_q	[584]
895	False	a_c_q	[181]
215	False	a_c_r	[562, 860]
368	False	a_c_r	[]
923	False	a_c_r	[856]
611	False	a_c_s	[]
179	True	a_c_s_T	[616]
939	False	a_c	[5]
393	False	a_c	[870, 183, 227]
990	False	a_c	[]
482	True	a_c_U	[]
63	False	a_t	[745]
371	False	a_t	[955, 466]
786	True	a_t_V	[133, 632, 713]
846	False	a_t	[456, 301, 994]
832	False	a_t	[]
110	True	a_t_W	[530]
666	False	a	[]
749	True	a_X	[38, 587, 442]
141	True	a_Y	[]
302	False	a	[]
680	False	a	[]
328	False	a	[820]
180	True	a_Z	[81, 244]
874	True	a_0	[]
415	False	a	[112]
515	False	a	[]
495	False	a	[591, 592]
968	False	a_u	[650]
221	False	a_u	[711]
768	True	a_u_1	[139]
533	False	a	[954]
189	True	a_v_2	[314]
782	True	a_w_3	[937, 359]
546	True	a_4	[514, 115]
882	False	a_x	[720, 284]
166	True	a_x_5	[]
322	False	a_x	[]
16	False	a	[]
985	True	a_6	[]
536	False	a	[57, 230, 642, 310, 790, 200]
96	False	a	[]
446	False	a_y	[900]
896	False	a_y	[812]
639	False	a_y	[]
422	False	a_y	[839]
814	False	a	[323]
297	False	a	[764, 8]
693	False	a	[]
259	False	a	[468]
434	True	a_7	[352]
665	False	a	[848]
394	False	a	[]
18	False	a_A	[24, 406, 312]
961	True	a_A_8	[574, 33, 688]
396	False	a_A	[571]
600	False	a_A	[]
717	False	a	[116]
535	True	a_9	[214, 984]
461	False	a	[881, 529]
866	False	a	[361]
540	False	a	[756, 243]
34	True	a_10	[231]
946	False	a_B	[781, 883, 285, 213]
207	True	a_j_11	[]
390	False	a_j	[767, 662]
917	False	a_j	[492, 360]
347	False	a_j	[219]
342	False	a_j	[]
897	True	a_C_12	[]
630	False	a_C	[496, 685, 426]
30	True	a_e_D_13	[15, 445, 854]
386	True	a_e_D_14	[982, 119, 703]
568	False	a_e_D	[165]
649	True	a_e_E_15	[]
523	True	a_e_E_16	[547, 594, 532, 796, 472]
862	False	a_e_E	[784]
22	False	a_e_E	[853]
2	True	a_e_17	[835]
612	True	a_e_18	[288, 229]
124	True	a_e_19	[]
398	False	a_e	[149]
67	True	a_e_20	[875, 86, 652, 769]
136	False	a_e	[]
541	False	a_e	[512, 265, 797]
910	True	a_e_21	[171, 531, 272, 699]
617	True	a_e_F_22	[719, 840, 84]
966	True	a_e_F_23	[388]
965	False	a_e_F	[239, 967, 292]
880	False	a_e_F	[]
704	False	a_e_F	[]
132	False	a_e_F	[]
834	False	a_e_G	[154]
502	False	a_e_G	[842, 26]
696	False	a_e_G	[661]
102	False	a_e_G	[]
922	False	a_e	[682]
92	True	a_e_24	[577]
85	False	a_e_H	[60, 865, 152, 421, 407, 402]
68	True	a_e_H_25	[401]
700	True	a_e_H_26	[927, 702]
